root@0e624e50d982:/jr_code/repo-concurrencia/TP2/eje9_filosofos# jr eje9
Folosofo 1 comiendo
Folosofo 3 comiendo
Folosofo 1 pensando
Folosofo 5 comiendo
Folosofo 3 pensando
Folosofo 2 comiendo
Folosofo 2 pensando
Folosofo 5 pensando
Folosofo 1 comiendo
Folosofo 4 comiendo
Folosofo 1 pensando
Folosofo 4 pensando
Folosofo 5 comiendo
Folosofo 3 comiendo
Folosofo 3 pensando
Folosofo 2 comiendo
Folosofo 2 pensando
Folosofo 4 comiendo
Folosofo 1 comiendo
Folosofo 5 pensando
Folosofo 4 pensando
Folosofo 3 comiendo
Folosofo 1 pensando
Folosofo 5 comiendo
Folosofo 3 pensando
Folosofo 2 comiendo
Folosofo 5 pensando
Folosofo 4 comiendo
Folosofo 2 pensando
Folosofo 1 comiendo
Folosofo 1 pensando
Folosofo 2 comiendo
Folosofo 4 pensando
Folosofo 5 comiendo
Folosofo 2 pensando
Folosofo 5 pensando
Folosofo 4 comiendo
Folosofo 4 pensando
Folosofo 3 comiendo
Folosofo 3 pensando
FIN
